day,month,year,text
21,1,2091,już podaje dwudziestego pierwszego zero pierwszego dwadzieścia dziewięćdziesiąt jeden
1,12,1978,zatem pierwszego dwunastego tysiąc dziewięćset siedemdziesiąty ósmy
3,10,2078,yyyy trzeciego dziesiątego dwadzieścia siedemdziesiąt osiem
10,2,1988,hmmm dziesiątego lutego tysiąc dziewięćset osiemdziesiąt osiem
7,2,1975,to będzie siódmy zero drugi dziewiętnaście siedemdziesiąt pięć
7,2,1975,hmmm siódmy luty dziewiętnaście siedemdziesiąt pięć
28,12,1975,yyyy dwudziesty ósmy grudzień tysiąc dziewięćset siedemdziesiąty piąty
5,4,1975,em piątego zero czwartego dziewiętnaście siedemdziesiąt pięć
6,10,2099,em szóstego października dwadzieścia dziewięćdziesiąt dziewięć
24,10,2088,em dwudziestego czwartego dziesiątego dwadzieścia osiemdziesiąt osiem
2,2,2045,to znaczy tak drugi luty dwadzieścia czterdzieści pięć
6,12,2011,em szóstego grudnia dwadzieścia jedenaście
24,1,2078,no to tak dwudziestego czwartego stycznia dwadzieścia siedemdziesiąt osiem
18,4,1999, osiemnastego zero czwartego tysiąc dziewięćset dziewięćdziesiąt dziewięć
24,2,1999,już podaje dwudziesty czwarty zero drugi  dziewięć dziewięć
2,4,1945,no to tak drugiego zero czwartego  czterdziestego piątego
10,1,2088,już podaje dziesiąty zero pierwszy dwadzieścia osiemdziesiąt osiem
10,7,2099,już podaje dziesiątego lipca dwa tysiące dziewięćdziesiąt dziewięć
28,10,1988,już podaje dwudziestego ósmego dziesiątego tysiąc dziewięćset osiemdziesiąt osiem
7,2,1978,hmmm siódmy luty dziewiętnaście siedemdziesiąt osiem
11,10,2088,yyyy jedenasty dziesiąty dwa tysiące osiemdziesiąt osiem
18,4,2099,to znaczy tak osiemnasty zero czwarty dwa tysiące dziewięćdziesiąt dziewięć
3,1,2075,dobrze, to tak trzeciego zero pierwszego dwadzieścia siedemdziesiąt pięć
1,2,2088,to znaczy tak pierwszy zero drugi dwadzieścia osiemdziesiąt osiem
5,7,1945,zatem piątego zero siódmego tysiąc dziewięćset czterdziesty piąty
9,4,2075,em dziewiąty zero czwarty dwa tysiące siedemdziesiątego piątego
13,4,1945,hmmm trzynastego kwietnia dziewiętnaście czterdzieści pięć
6,4,2091, szóstego zero czwartego dwadzieścia dziewięćdziesiąt jeden
24,7,2099,hmmm dwudziesty czwarty zero siódmy dwadzieścia dziewięćdziesiąt dziewięć
2,12,2078,już podaje drugiego grudnia dwadzieścia siedemdziesiąt osiem
21,2,1911,yyyy dwudziestego pierwszego zero drugiego tysiąc dziewięćset jedenastego
13,12,2088,em trzynastego dwunastego dwadzieścia osiemdziesiąt osiem
11,10,2099,już podaje jedenastego dziesiątego dwadzieścia dziewięćdziesiąt dziewięć
21,2,2088, dwudziestego pierwszego zero drugiego dwadzieścia osiemdziesiąt osiem
10,7,1991,zatem dziesiąty lipiec tysiąc dziewięćset dziewięćdziesiąty pierwszy
24,12,2078,to będzie dwudziestego czwartego dwunastego dwadzieścia siedemdziesiąt osiem
18,7,1991,już podaje osiemnasty zero siódmy  dziewięć jeden
7,1,2078,zatem siódmego zero pierwszego dwadzieścia siedemdziesiąt osiem
3,4,2078,to znaczy tak trzeciego kwietnia dwa tysiące siedemdziesiąty ósmy
10,10,1999,yyyy dziesiąty październik tysiąc dziewięćset dziewięćdziesiąty dziewiąty
11,4,1988,już podaje jedenasty zero czwarty  osiem osiem
18,2,1911,hmmm osiemnastego lutego  jedenastego
24,2,2088, dwudziestego czwartego zero drugiego dwadzieścia osiemdziesiąt osiem
13,7,2045,już podaje trzynasty lipiec dwa tysiące czterdziesty piąty
11,7,2091, jedenasty lipiec dwadzieścia dziewięćdziesiąt jeden
28,4,2091,no to tak dwudziesty ósmy zero czwarty dwa tysiące dziewięćdziesiąt jeden
6,10,2045, szósty październik dwadzieścia czterdzieści pięć
1,4,2078,yyyy pierwszego kwietnia dwa tysiące siedemdziesiątego ósmego
12,12,2011,to znaczy tak dwunasty grudnia dwadzieścia jedenaście
13,2,1945,to znaczy tak trzynastego zero drugiego  cztery pięć
18,2,1911,dobrze, to tak osiemnastego zero drugiego  jedenastego
24,10,1999,dobrze, to tak dwudziestego czwartego dziesiątego tysiąc dziewięćset dziewięćdziesiąty dziewiąty
24,12,1991,to znaczy tak dwudziestego czwartego grudnia tysiąc dziewięćset dziewięćdziesiąty pierwszy
9,10,2099,zatem dziewiąty października dwadzieścia dziewięćdziesiąt dziewięć
9,2,2011,już podaje dziewiątego lutego dwadzieścia jedenaście
21,12,1991,to znaczy tak dwudziestego pierwszego dwunastego tysiąc dziewięćset dziewięćdziesiąt jeden
7,12,2088,em siódmy grudzień dwa tysiące osiemdziesiąt osiem
9,10,2045,zatem dziewiątego października dwa tysiące czterdziesty piąty
9,4,2088,to znaczy tak dziewiąty kwiecień dwadzieścia osiemdziesiąt osiem
28,1,1975,em dwudziesty ósmy styczeń tysiąc dziewięćset siedemdziesiątego piątego
1,12,1911,to znaczy tak pierwszego grudnia  jedenastego
28,4,1988,em dwudziesty ósmy kwiecień tysiąc dziewięćset osiemdziesiąty ósmy
2,7,1991,już podaje drugi lipiec tysiąc dziewięćset dziewięćdziesiąty pierwszy
5,4,1975,em piątego kwietnia  siedem pięć
12,10,2078,yyyy dwunasty październik dwa tysiące siedemdziesiąty ósmy
24,1,2099,hmmm dwudziesty czwarty zero pierwszy dwadzieścia dziewięćdziesiąt dziewięć
6,4,1988,em szóstego zero czwartego  osiem osiem
11,7,2088,yyyy jedenasty lipiec dwa tysiące osiemdziesiąt osiem
21,4,2011,yyyy dwudziestego pierwszego kwietnia dwa tysiące jedenasty
3,4,1991,zatem trzeciego kwietnia  dziewięć jeden
10,1,1911,już podaje dziesiąty styczeń  jedenastego
12,12,1945,dobrze, to tak dwunasty grudnia dziewiętnaście czterdzieści pięć
10,12,1999,hmmm dziesiątego dwunastego  dziewięć dziewięć
9,7,1991,już podaje dziewiątego lipca  dziewięć jeden
28,7,1999,no to tak dwudziesty ósmy zero siódmy dziewiętnaście dziewięćdziesiąt dziewięć
13,7,1991,to będzie trzynasty lipiec dziewiętnaście dziewięćdziesiąt jeden
18,4,2011,hmmm osiemnastego kwietnia dwa tysiące jedenasty
6,4,2075,hmmm szóstego kwietnia dwadzieścia siedemdziesiąt pięć
12,1,2011,już podaje dwunastego stycznia dwa tysiące jedenastego
1,2,2011,no to tak pierwszy luty dwa tysiące jedenasty
13,7,1978,to będzie trzynastego zero siódmego dziewiętnaście siedemdziesiąt osiem
18,12,1945,zatem osiemnasty grudnia tysiąc dziewięćset czterdziestego piątego
6,4,2011,em szósty zero czwarty dwadzieścia jedenaście
9,4,1999,yyyy dziewiąty kwiecień  dziewięć dziewięć
12,2,1978,to znaczy tak dwunasty zero drugi  siedem osiem
13,1,2075,to będzie trzynasty styczeń dwadzieścia siedemdziesiąt pięć
11,12,1991,to znaczy tak jedenasty grudzień  dziewięć jeden
1,2,1999,to będzie pierwszego zero drugiego dziewiętnaście dziewięćdziesiąt dziewięć
10,10,1999,em dziesiąty dziesiąty tysiąc dziewięćset dziewięćdziesiąt dziewięć
21,2,1945,hmmm dwudziesty pierwszy luty  czterdziestego piątego
18,10,1988,to będzie osiemnasty października dziewiętnaście osiemdziesiąt osiem
21,7,2088,hmmm dwudziestego pierwszego lipca dwa tysiące osiemdziesiąty ósmy
5,12,1978,no to tak piątego grudnia dziewiętnaście siedemdziesiąt osiem
5,4,2075, piątego zero czwartego dwadzieścia siedemdziesiąt pięć
12,2,2091,em dwunastego lutego dwa tysiące dziewięćdziesiąty pierwszy
3,7,1988, trzeci zero siódmy tysiąc dziewięćset osiemdziesiąty ósmy
6,1,1975,no to tak szósty styczeń  siedem pięć
2,7,2088,no to tak drugiego lipca dwa tysiące osiemdziesiąty ósmy
10,12,1991,zatem dziesiąty dwunastego dziewiętnaście dziewięćdziesiąt jeden
13,10,2075,em trzynasty października dwa tysiące siedemdziesiątego piątego
18,12,2078,hmmm osiemnasty dwunastego dwa tysiące siedemdziesiątego ósmego
28,2,2075,em dwudziesty ósmy zero drugi dwa tysiące siedemdziesiąty piąty
11,1,1945,yyyy jedenasty styczeń  cztery pięć
9,7,2075,to będzie dziewiąty lipiec dwa tysiące siedemdziesiąty piąty
12,1,1999,to będzie dwunastego stycznia dziewiętnaście dziewięćdziesiąt dziewięć
10,10,2045,em dziesiątego dziesiątego dwadzieścia czterdzieści pięć
3,1,2075,no to tak trzeci zero pierwszy dwadzieścia siedemdziesiąt pięć
13,1,1978,yyyy trzynastego stycznia  siedem osiem
9,4,1911,dobrze, to tak dziewiątego zero czwartego tysiąc dziewięćset jedenasty
2,10,2088, drugi październik dwa tysiące osiemdziesiąt osiem
5,2,2045,hmmm piątego zero drugiego dwa tysiące czterdziestego piątego
3,1,2091,no to tak trzeci styczeń dwa tysiące dziewięćdziesiąt jeden
